Year,Month,Day,Hour,Min,Second,North,East,Depth(km),Richter tal
2016,5,25,10,8,37.6,56838,16149,0.0,2.2
2016,5,25,8,10,41.6,56434,10853,35.0,2.6
2016,5,24,13,3,41.1,57643,14152,0.0,2.1
2016,5,24,12,9,3.0,57673,14139,0.0,2.9
2016,5,24,9,12,57.5,56256,12989,1.1,1.7
2016,5,24,7,57,56.8,57312,11650,27.3,2.3
2016,5,21,16,4,4.0,58033,7812,0.5,2.3
2016,5,20,14,33,43.2,57938,7961,3.9,0.9
2016,5,20,13,42,27.6,58337,8857,0.0,1.2
2016,5,16,13,26,12.6,55689,13376,0.0,1.9
2016,5,11,11,53,59.0,56791,13076,4.0,2.4
2016,5,9,16,5,10.3,58949,12622,5.9,1.7
2016,5,1,17,48,29.7,54928,15569,14.6,1.4
2016,4,29,10,44,23.2,56196,14511,0.0,2.1
2016,4,28,11,1,26.6,58654,15169,0.1,1.0
2016,4,28,10,49,26.1,57289,12343,2.9,0.7
2016,4,27,13,17,47.3,56231,15464,9.1,1.4
2016,4,27,12,57,55.1,57687,12339,1.5,0.9
2016,4,27,12,42,1.6,57702,11831,15.0,0.9
2016,4,26,14,34,59.5,57903,17310,10.3,2.1
2016,4,26,11,38,1.5,57701,14495,0.0,1.1
2016,4,26,11,8,11.1,55934,13476,42.1,0.3
2016,4,23,15,23,1.6,56882,7957,73.5,2.0
2016,4,22,17,45,31.8,53118,9157,15.0,3.1
2016,4,22,13,14,53.5,58460,6470,0.0,1.5
2016,4,22,11,13,39.6,56141,13098,0.0,0.3
2016,4,22,11,4,57.0,56847,16387,0.9,0.4
2016,4,22,8,9,11.3,57425,11467,26.3,0.9
2016,4,21,17,42,27.8,58111,7299,16.9,0.8
2016,4,21,12,18,5.6,57324,14673,11.3,0.4
2016,4,21,10,11,16.9,55663,13366,3.6,2.0
2016,4,20,13,19,59.9,58350,6317,15.0,1.7
2016,4,20,10,45,55.6,56738,12908,0.0,0.8
2016,4,19,13,7,41.5,57674,12128,0.6,0.9
2016,4,19,9,29,27.1,57964,12621,0.0,4.0
2016,4,18,10,39,8.7,57352,14523,0.1,2.8
2016,4,18,1,42,34.3,57764,7794,31.7,1.1
2016,4,15,13,6,40.7,55720,13371,0.0,1.4
2016,4,15,13,3,6.1,55712,13089,50.2,1.6
2016,4,14,9,39,22.7,57614,10466,3.5,2.7
2016,4,7,13,44,42.0,58965,5099,85.7,1.5
2016,4,7,13,28,44.4,58890,15101,0.0,1.4
2016,4,7,12,21,6.7,56439,14022,67.7,0.9
2016,4,7,11,54,6.8,55585,13519,0.0,1.5
2016,4,7,11,52,31.5,55569,13516,3.0,0.9
2016,4,7,10,25,24.7,56957,14381,0.0,2.6
2016,4,6,14,35,48.4,58275,8541,11.3,1.2
2016,4,6,11,38,33.8,56830,14636,26.4,2.7
2016,4,4,11,41,2.0,56011,13559,0.0,2.1
2016,4,1,14,35,4.0,55573,14435,15.0,0.6
2016,4,1,14,2,10.7,58117,12655,0.9,2.4
2016,4,1,12,37,30.7,55875,14582,15.0,1.4
2016,4,1,12,8,10.6,58160,8170,2.8,0.8
2016,3,17,16,41,47.1,58918,5723,17.6,1.8
2016,3,17,14,16,19.2,58207,6387,14.1,1.6
2016,3,17,14,9,9.8,57770,12142,0.5,0.6
2016,3,17,13,3,34.1,57662,12311,7.5,0.8
2016,3,17,11,53,19.4,57472,7384,22.1,1.7
2016,3,17,11,1,18.8,58733,4953,108.1,1.8
2016,3,17,10,25,58.8,56792,12661,0.0,0.2
2016,3,15,23,41,12.8,58098,7879,2.3,0.7
2016,3,15,14,14,20.4,58445,6749,0.1,0.8
2016,3,15,12,58,45.2,57216,13293,144.7,2.5
2016,3,15,9,27,5.6,57300,13913,15.0,0.5
2016,3,14,16,28,29.6,58685,14387,0.0,0.9
2016,3,14,12,50,11.9,56730,12865,0.0,0.7
2016,3,11,12,45,14.7,56200,13128,0.0,0.8
2016,3,11,13,12,37.6,56168,16153,32.6,1.0
2016,3,9,11,22,1.5,55657,13407,0.0,2.0
2016,3,4,10,3,17.5,55724,13238,0.0,2.1
2016,2,26,21,57,53.4,56233,11754,28.9,0.6
2016,2,25,22,8,32.3,58907,1320,34.3,2.6
2016,2,23,15,19,11.5,58202,7367,16.8,1.3
2016,2,23,12,48,15.2,58884,5854,8.9,1.6
2016,2,23,11,39,36.4,56250,13084,0.1,2.3
2016,2,21,0,51,41.4,57581,7475,44.0,2.6
2016,2,19,11,22,21.6,58079,9329,15.1,0.9
2016,2,19,11,0,26.9,55649,13393,1.2,1.9
2016,2,18,14,44,30.0,57567,5610,15.0,3.2
2016,2,13,4,24,28.7,57069,11026,37.4,1.6
2016,2,12,13,7,4.4,56593,16227,10.2,0.7
2016,2,12,9,15,27.1,58787,11398,9.2,1.1
2016,2,11,12,14,44.8,57683,12811,0.0,1.0
2016,2,9,12,0,26.8,56804,13602,15.0,0.0
2016,2,4,0,20,22.1,55745,11537,0.0,1.9
2016,2,1,18,12,41.4,58232,8174,0.0,0.6
2016,2,1,11,11,41.5,55538,13498,7.8,1.1
2016,1,29,10,5,59.5,56192,13122,3.1,1.3
2016,1,20,18,59,20.4,58916,1366,24.5,2.5
2016,1,16,16,28,60.0,57707,7041,14.8,2.3
2016,1,14,14,40,4.1,58338,7897,0.0,2.5
2016,1,13,17,44,27.3,57624,6976,11.6,1.3
2016,1,12,14,6,23.9,57660,14167,0.0,2.9
2016,1,12,13,52,8.4,56220,14523,0.0,1.0
2016,1,11,13,6,57.8,55712,13454,1.0,1.2
2016,1,11,11,2,18.4,55731,13324,1.6,1.6
2016,1,8,12,1,58.9,56079,13886,28.5,1.4
2015,12,22,11,36,43.2,56984,7522,6.1,2.1
2015,12,21,12,20,38.3,55604,13575,0.0,2.0
2015,12,21,10,31,6.3,56927,7225,40.1,3.7
2015,12,18,14,32,50.5,58510,11611,0.1,2.1
2015,12,16,11,42,48.3,56222,15542,15.0,2.2
2015,12,13,18,3,25.4,57958,8809,33.8,2.6
2015,12,3,20,52,34.8,55796,12004,19.7,0.6
2015,12,3,15,6,24.6,58429,7390,19.7,1.0
2015,12,3,13,9,47.2,55480,13559,0.6,1.2
2015,12,2,15,9,43.9,58418,8711,10.2,1.5
2015,12,2,12,59,1.5,58218,13217,9.6,2.5
2015,12,2,11,21,9.8,55599,13513,0.6,0.8
2015,12,1,13,28,11.0,56112,13916,28.8,1.5
2015,12,1,12,9,55.2,56741,13797,0.0,0.9
2015,11,30,14,8,17.5,56019,15936,16.8,0.7
2015,11,27,13,50,34.6,55673,13396,0.0,1.1
2015,11,27,11,15,15.5,57516,5281,26.1,1.7
2015,11,27,10,28,19.3,56421,16440,0.2,0.8
2015,11,26,13,58,42.2,55702,13346,6.0,2.3
2015,11,26,8,23,56.3,58135,11275,16.1,2.2
2015,11,25,16,3,39.0,58167,11308,15.0,2.3
2015,11,25,15,52,31.8,58164,11320,16.6,2.1
2015,11,23,2,47,51.3,57676,9954,29.0,1.6
2015,11,19,14,18,36.8,56889,7665,48.3,3.4
2015,11,17,18,15,16.2,56689,13127,4.9,1.7
2015,11,17,12,35,54.1,56298,12951,15.1,2.2
2015,11,16,5,2,6.9,58132,6778,29.7,2.5
2015,11,12,14,15,52.8,58398,6328,3.6,1.4
2015,11,12,11,46,20.9,56749,16227,3.1,1.5
2015,11,12,10,37,32.0,56259,13408,0.0,0.3
2015,11,11,12,33,42.3,56216,15461,0.0,1.1
2015,11,10,15,27,3.2,58117,9269,20.6,0.7
2015,11,6,12,14,24.2,58656,8727,17.3,1.2
2015,11,5,11,13,2.3,56768,14672,0.0,0.3
2015,11,5,9,53,53.2,55593,13550,7.8,1.2
2015,11,4,10,27,9.4,56876,16209,17.0,1.6
2015,11,3,12,39,17.4,55675,13389,0.4,1.1
2015,11,2,10,57,36.2,55770,13494,0.0,1.8
2015,11,2,8,35,19.3,57734,14800,15.0,1.6
2015,10,31,6,58,54.3,56960,8018,27.4,2.2
2015,10,28,14,47,38.4,55730,13289,1.7,1.3
2015,10,28,10,17,22.9,55663,13407,0.0,1.2
2015,10,24,9,7,50.3,57542,7381,30.1,2.2
2015,10,22,9,54,18.2,55650,13248,8.9,1.4
2015,10,21,14,34,39.1,56598,12990,1.1,1.6
2015,10,21,11,31,0.7,57525,13150,39.1,0.5
2015,10,21,9,49,15.7,55640,13465,22.4,0.6
2015,10,21,4,0,57.6,57133,6977,40.7,1.7
2015,10,20,12,38,27.0,56205,14763,2.4,1.3
2015,10,16,11,18,50.1,55982,14045,5.3,0.4
2015,10,16,10,23,42.8,55679,13372,0.0,1.0
2015,10,14,13,0,11.2,55422,13429,1.1,0.6
2015,10,13,12,28,38.8,55594,13418,0.0,0.7
2015,10,8,14,12,59.0,57674,12935,0.0,0.8
2015,10,8,10,38,39.2,56722,12829,5.2,0.5
2015,10,8,9,46,12.5,55705,13279,1.5,1.7
2015,10,7,13,18,56.7,58384,6383,8.4,1.3
2015,10,5,22,43,19.4,56038,13529,11.0,1.4
2015,10,5,10,0,35.1,55651,13450,0.5,0.7
2015,10,5,9,56,55.2,55627,13227,9.4,0.8
2015,10,3,20,12,2.3,57012,7250,15.9,1.8
2015,10,2,10,58,39.3,56083,14016,15.0,0.6
2015,10,1,11,10,31.6,56549,16200,26.8,1.4
2015,10,1,10,2,32.4,56176,13698,1.2,0.6
2015,9,28,9,45,13.0,55482,13499,6.7,0.8
2015,9,24,9,2,34.0,55659,13399,1.4,0.6
2015,9,23,10,27,47.1,55639,13442,0.0,0.5
2015,9,22,16,59,28.5,57660,12899,0.0,0.8
2015,9,22,9,11,21.6,56324,12979,0.0,0.5
2015,9,18,10,4,18.5,55661,13216,9.3,0.7
2015,9,18,9,28,20.8,56703,13811,0.0,0.9
2015,9,17,11,14,21.4,56962,12606,10.3,0.6
2015,9,17,10,38,43.5,57703,12924,0.0,0.6
2015,9,17,9,56,22.2,55624,13341,15.0,0.9
2015,9,16,11,30,19.5,57871,12471,0.0,1.4
2015,9,15,12,28,8.5,56040,14003,5.1,0.4
2015,9,15,11,30,34.5,54283,17125,0.0,1.4
2015,9,11,10,15,12.7,55700,13421,0.0,1.2
2015,9,11,9,7,41.4,58675,8106,15.0,1.6
2015,9,10,14,36,51.8,54232,16816,15.0,1.7
2015,9,10,10,22,35.7,55578,13453,7.0,0.9
2015,9,10,9,56,11.2,55857,13495,10.7,0.4
2015,9,10,4,49,8.3,54129,14389,3.5,1.1
2015,9,9,21,4,35.3,57422,13354,0.0,0.3
2015,9,9,9,29,59.0,55524,13524,8.2,0.9
2015,9,8,18,28,2.0,54586,16976,0.0,1.3
2015,9,8,17,17,8.7,57651,12887,0.0,0.6
2015,9,8,10,48,50.9,56262,12977,1.2,0.6
2015,9,3,13,42,12.8,56518,13032,23.8,0.9
2015,9,3,10,1,13.1,55700,13398,5.0,1.2
2015,9,1,11,14,6.6,57411,15112,0.0,0.9
2015,8,31,17,1,23.2,57675,12922,4.0,0.5
2015,8,31,11,33,23.4,56143,13109,0.0,0.8
2015,8,27,15,22,29.7,57537,6976,26.5,2.4
2015,8,25,12,40,31.2,55616,13446,0.0,0.6
2015,8,25,11,43,59.1,55401,13513,1.1,1.3
2015,8,24,3,6,40.7,56931,7791,32.5,1.2
2015,8,20,13,44,45.1,56103,13956,4.7,0.4
2015,8,20,12,1,15.4,55731,13323,0.0,1.1
2015,8,20,10,43,11.6,57663,12136,0.0,1.3
2015,8,19,11,24,37.2,56176,14396,0.1,1.3
2015,8,19,10,46,30.7,57430,13199,0.0,0.7
2015,8,18,10,52,48.8,57939,7982,15.0,1.2
2015,8,18,9,56,8.2,55709,13283,3.1,1.1
2015,8,17,10,5,47.6,55746,13428,0.4,1.4
2015,8,17,10,3,21.6,56522,13199,0.0,0.5
2015,8,12,13,5,21.3,57890,16391,0.0,1.7
2015,8,12,9,58,48.9,56048,14011,0.0,1.1
2015,8,11,9,28,59.2,56792,12649,0.0,0.8
2015,8,10,13,15,5.8,58362,6443,5.2,1.5
